Nome,Precos
['Kit 3 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + \tKibe Seara incrível 300g'],"['R$34,76']"
['Cerveja Stella Artois Puro Malte 269ml Lata Pack C/8'],"['R$27,92']"
"['Compre 1 costela e +R$1,00 leve 1 pack de Colorado Ribeirão Lager 350ml']","['R$103,93']"
['Cerveja BLONDINE Horney Pig Session Ipa Garrafa 500ml'],"['R$23,99']"
['Cerveja 1500 Puro Malte Garrafa 600ml - Pack com 6 unidades'],"['R$41,34']"
"['Cerveja Skol, Pilsen 350ml Lata Pack C/18']","['R$50,22']"
['Cerveja AMSTEL Lager Lata 269ml - Pack com 12 latas'],"['R$28,68']"
['Cerveja BUDWEISER Garrafa 330ml - 16 unidades'],"['R$71,84']"
['Kit Verão - Cooler + Gelo + Skol'],"['R$180,13']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24'],"['R$102,96']"
['Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades'],"['R$239,76']"
['Kit com 15 Cervejas SKOL Puro Malte Lata 269ml Cada + Sacola Cooler'],"['R$79,34']"
['Cerveja EISENBAHN Pilsen Lata 350ml com 12 Unidades'],"['R$47,88']"
['Kit 12 Cervejas Lagunitas Ipa Long Neck 355ml + 1 Bacon em Fatias Seara Gourmet 250g + 2 Mix De Cogumelos Burger Seara Gourmet 320g'],"['R$179,45']"
['Cerveja BOHEMIA Lata 350ml Cada - 48 Unidades'],"['R$148,32']"
['Cerveja Bohemia Puro Malte 350ml Lata - Pack C/12'],"['R$37,08']"
['Cerveja Skol Pilsen 473ml Lata Pack C/12'],"['R$45,48']"
['Kit 12 Cervejas AMSTEL Lager Lata 350ml + 6 Cervejas HEINEKEN Lata 350ml'],"['R$66,18']"
['Cerveja AMSTEL Lager Lata 350ml - Caixa com 12 Unidades'],"['R$38,28']"
['Cerveja Budweiser Lager  330ml Long Neck Pack C/6'],"['R$26,94']"
['Cerveja Mexicana CORONA Garrafa 330ml - 24 Unidades'],"['R$143,76']"
['Cerveja CUSQUEÑA Dark Lager Garrafa 330ml'],"['R$11,29']"
['Cerveja Red Lager Puro Malte Back to the Red Black Princess Garrafa 600ml'],"['R$17,99']"
['Cerveja IPA Maniacs Lata 350ml'],"['R$7,99']"
['Cerveja Lubeck Witbier Tangerina Garrafa 500ml.'],"['R$18,99']"
['Cerveja Dinamarquesa FAXE Royal Lata 500ml'],"['R$12,99']"
['Cerveja Bier DAMA Weissbier Garrafa 600ml'],"['R$19,99']"
['Cerveja Blanche Bruxelles Witbier 330ml'],"['R$27,99']"
['Cerveja AVÓS Vó Ana Wheat Lager Lata 473ml'],"['R$25,99']"
['Cerveja AVÓS Vó Terezinha German Pils Lata 473ml'],"['R$25,99']"
['Cerveja LEUVEN Dubbel com Cacau MONK Garrafa 500ml'],"['R$25,99']"
['Cerveja Hocus Pocus Interstellar Garrafa 500ml'],"['R$27,99']"
['Cerveja Fruit Kriek Brut Liefmans Garrafa 330ml'],"['R$28,99']"
['Cerveja Devassa Puro Malte Lata 269ml'],"['R$2,29']"
['Cerveja BLONDINE HALLO Garrafa 500ml'],"['R$28,99']"
['Cerveja Munich Helles Dom Pedro Dom Haus Lata 350ml'],"['R$17,99']"
['Kit Cerveja LA TRAPPE DUBBEL Garrafa 750ml'],"['R$189,99']"
['Cerveja República Tcheca  CZECHVAR Budvar Garrafa 500ml'],"['R$23,99']"
['Kit Caneca + 2 Cervejas Münchner Helles Original HB 500ml Cada'],"['R$109,99']"
['Cerveja 2 Cabeças Apfelstrudel 473ml'],"['R$30,99']"
['Kit 6 Cervejas Lagunitas Ipa Long Neck 355ml + 1 Mix De Cogumelos Burger Seara Gourmet 320g'],"['R$78,23']"
['Cerveja AMSTEL Lager Lata 350ml - com 24 Unidades'],"['R$76,56']"
['Kit 6 Cervejas Corona 330 ML Long Neck + Limão Tahiti 500g'],"['R$38,93']"
['Kit 6 Cervejas BECKS 350 ML Lata + Pizza Artesanal Margherita SEARA Gourmet 450g'],"['R$63,53']"
['Cerveja SKOL Lata 350ml - 24 Unidades'],"['R$66,96']"
['Cerveja LEUVEN Golden Ale KING Garrafa 500ml'],"['R$14,99']"
['Cerveja Weizen Iniciação Invicta Garrafa 500ml'],"['R$19,99']"
['Kit com 2 Cerveja BADEN BADEN Cristal 600ml 1 Kit Moqueca de Saint Peters com Camarão 340g'],"['R$41,47']"
['Cerveja ST. BERNARDUS PRIOR 8 Garrafa 330ml'],"['R$29,99']"
['Kit Cerveja LONDON PRIDE Garrafa 500ml'],"['R$129,99']"
['Cerveja Alemã PAULANER LEMON LATA 500ML'],"['R$20,29']"
['Cerveja BLONDINE Tropical Umbu Garrafa 500ml'],"['R$33,99']"
['Cerveja Session Rye IPA Drache Leuven Garrafa 500ml'],"['R$21,99']"
['Cerveja COLORADO Ribeirão Lager Lata 350ml'],"['R$5,99']"
['Cerveja DOM CASMURRO Ipa Garrafa 600ml'],"['R$23,99']"
['Cerveja 2 Cabeças ZEZINHO 500ml'],"['R$30,99']"
['Cerveja Belga VEDETT White Garrafa 330ml'],"['R$23,99']"
['Cerveja Bohemia Puro Malte 350ml Lata Pack C/18'],"['R$52,02']"
['Cerveja alemã Paulaner Hefe-weiss 500ml'],"['R$21,99']"
['Cerveja Malzbier Itaipava Garrafa 355ml'],"['R$3,69']"
['Cerveja BLONDINE Blond Ale Garrafa 500ml'],"['R$19,99']"
['Cerveja SOL Premium Long Neck 330ml'],"['R$4,29']"
['Cerveja Amber Lager Puro Malte Cacildis Lata 350ml'],"['R$3,79']"
['Cerveja Jamaicana RED STRIPE Lager Garrafa 330ml'],"['R$11,99']"
['Cerveja Dinamarquesa FAXE Witbier Lata 500ml'],"['R$21,99']"
['Cerveja Becks Puro Malte 330ml Long Neck'],"['R$5,79']"
['Cerveja Doktor Brau Apa Garrafa 500ml'],"['R$24,99']"
"[""Kit 1 Cerveja COLORADO DEMOISEL Garrafa 600ML + 2 Barra Hershey's Special Dark Tradicional 85g""]","['R$29,77']"
['Cerveja PATAGONIA AMBER LAGER Garrafa 740ML'],"['R$12,99']"
['Cerveja PATAGONIA Amber Lager Lata 473ml'],"['R$6,49']"
['Cerveja Lager Premium Puro Malte Zero Álcool Heineken Garrafa 330ml'],"['R$5,29']"
['Cerveja Brahma Chopp Pilsen 269ml Lata'],"['R$2,49']"
['Cerveja Premium Witbier PRAYA 600ml'],"['R$12,99']"
['Cerveja MARTINA Artesanal Witbier Garrafa 300ml'],"['R$8,99']"
['Cerveja Goose Island Midway Long Neck 355ml'],"['R$8,99']"
['Cerveja MORLAND Old Speckled Hen Lata 500ml'],"['R$24,99']"
['Cerveja Stella Artois Puro Malte 350ml Lata'],"['R$4,19']"
['Cerveja Amstel Ultra Garrafa 275ml'],"['R$3,99']"
['Cerveja Puro Malte TIGER Lata 350ml'],"['R$3,39']"
['Cerveja AMSTEL Puro Malte Latão 473ml'],"['R$4,19']"
['Cerveja SCHIN Lata 350ml'],"['R$2,29']"
['Cerveja Spaten Puro Malte 350ml Lata'],"['R$3,49']"
['Cerveja KAISER Pilsen Latão 473ml'],"['R$2,89']"
['Cerveja PATAGONIA Bohemian Pilsener Garrafa 740ml'],"['R$12,99']"
['Cerveja BRAHMA Chopp Lata 350ml'],"['R$2,99']"
['Cerveja HEINEKEN Lata 250ml -Caixa com 6 Unidades'],"['R$00,00']"
['Kit Cervejas - Cervejaria COLORADO com 6 Unidades'],"['R$69,94']"
['Kit Cerveja Americana GOOSE ISLAND MIDWAY Garrafa 355ml 6 Unidades'],"['R$53,94']"
['Kit 15 Cerveja BUDWEISER Lata 269ml & 2 Batata Frita Sensações Sabor Peito de Peru ELMA CHIPS 45g'],"['R$60,73']"
['Cerveja Double IPA Citrus Bomb Tupiniquim Lata 350ml'],"['R$00,00']"
['Kit 4 Cervejas EISENBAHN American IPA Garrafa 355ml + Queijo Holandês Gouda Pedaço 200g'],"['R$41,96']"
['Kit 4 Cervejas Hoegaarden Witbier 269ml + 1 Fondue de Queijo Campo Lindo 400g'],"['R$00,00']"
['Cerveja Fábrica 1959 Ipa Lata 350ml'],"['R$00,00']"
['Cerveja Michelob Ultra Lager 355ml Long Neck'],"['R$00,00']"
['Cerveja World Lager Estrella Galicia Garrafa 200ml'],"['R$00,00']"
['Cerveja Colorado Indica 350ml'],"['R$00,00']"
['Cerveja Amstel Ultra Lata 269ml'],"['R$00,00']"
['Cerveja Patagonia Lata 350ml'],"['R$00,00']"
['Cerveja IPA Maniacs Garrafa 355ml'],"['R$00,00']"
['Kit COLORADO Appia + 1 Copo'],"['R$00,00']"
['Cerveja DEVASSA Puro Malte Lata 350ml'],"['R$00,00']"
['Kit 1 Cerveja COLORADO DEMOISEL Garrafa 600ML + 2 Chocolate Suíço 70% Cocoa Amargo LINDT Excellence Barra 100g'],"['R$00,00']"
['Kit Linguiça com alho poró Seara Gourmet 500g + Mostarda Amarela Heinz Squeeze 255g + 8 Cerveja Stella Artois Puro Malte 350ml Lata'],"['R$69,50']"
